Title,Price,Rating
"APPLE iPhone 13 Pro (Gold, 256 GB)","₹1,29,900",4.6
"APPLE iPhone 13 Pro (Gold, 128 GB)","₹1,19,900",4.6
"APPLE iPhone 13 Pro (Gold, 512 GB)","₹1,49,900",4.6
"APPLE iPhone 13 Pro (Graphite, 256 GB)","₹1,29,900",4.6
"APPLE iPhone 13 Pro (Gold, 1 TB)","₹1,69,900",4.6
"APPLE iPhone 13 Pro (Graphite, 512 GB)","₹1,49,900",4.6
"APPLE iPhone 13 Pro (Alpine Green, 512 GB)","₹1,49,900",4.6
"APPLE iPhone 13 Pro (Sierra Blue, 512 GB)","₹1,49,900",4.6
"APPLE iPhone 13 Pro Max (Sierra Blue, 256 GB)","₹1,39,900",4.6
"APPLE iPhone 13 Pro Max (Graphite, 512 GB)","₹1,59,900",4.6
"APPLE iPhone 13 Pro Max (Gold, 256 GB)","₹1,39,900",4.6
"APPLE iPhone 13 Pro Max (Alpine Green, 256 GB)","₹1,39,900",4.6
"APPLE iPhone 13 Pro Max (Graphite, 256 GB)","₹1,39,900",4.6
"APPLE iPhone 13 Pro (Silver, 512 GB)","₹1,49,900",4.6
"APPLE iPhone 13 Pro (Sierra Blue, 1 TB)","₹1,69,900",4.6
"APPLE iPhone 13 Pro (Alpine Green, 1 TB)","₹1,69,900",4.6
"APPLE iPhone 13 Pro (Graphite, 1 TB)","₹1,69,900",4.6
"APPLE iPhone 13 Pro (Silver, 128 GB)","₹1,19,900",4.6
"APPLE iPhone 13 Pro (Silver, 1 TB)","₹1,69,900",4.6
"APPLE iPhone 13 Pro (Alpine Green, 128 GB)","₹1,19,900",4.6
"APPLE iPhone 13 Pro (Alpine Green, 256 GB)","₹1,29,900",4.6
"APPLE iPhone 13 Pro Max (Silver, 512 GB)","₹1,59,900",4.6
"APPLE iPhone 13 Pro Max (Graphite, 128 GB)","₹1,29,900",4.6
"APPLE iPhone 13 Pro Max (Sierra Blue, 512 GB)","₹1,59,900",4.6
